t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=a6997c6de791 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:15+0530 lvl=info msg="join connections" obj=join id=a606e3935499 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:38642
t=2026-07-02T10:58:16+0530 lvl=info msg="join connections" obj=join id=56e0cd40273c l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:38648
t=2026-07-02T10:58:19+0530 lvl=info msg="join connections" obj=join id=f28f30c2ebcd l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:50598
t=2026-07-02T10:58:21+0530 lvl=info msg="join connections" obj=join id=96643e11c13a l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=640e9235b352 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=b16121b37eac l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=d7d1521c9d8e l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=d9e79296cf9d l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=2f80fe4a920f l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=953568551b55 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=80c0465565b0 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=e08c40031f30 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=e305829aeb7a l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
